Data as of,Start week,End Week,State,Sex,Age group,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
10/28/2020,02/01/2020,10/24/2020,New Hampshire,Female,55-64 years,,411,14,,,20,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,New Hampshire,Female,65-74 years,29,730,55,10,,81,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,New Hampshire,Female,75-84 years,59,"1,156",76,13,,124,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,New Hampshire,Female,85 years and over,138,"2,043",115,22,,237,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,New Hampshire,Unknown,All Ages,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,New Hampshire,Unknown,Under 1 year,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,New Hampshire,Unknown,0-17 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,New Hampshire,Unknown,1-4 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,New Hampshire,Unknown,5-14 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,New Hampshire,Unknown,15-24 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,New Hampshire,Unknown,18-29 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,New Hampshire,Unknown,25-34 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,New Hampshire,Unknown,30-49 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,New Hampshire,Unknown,35-44 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,New Hampshire,Unknown,45-54 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,New Hampshire,Unknown,50-64 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,New Hampshire,Unknown,55-64 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,New Hampshire,Unknown,65-74 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,New Hampshire,Unknown,75-84 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,New Hampshire,Unknown,85 years and over,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,New Jersey,All Sexes,All Ages,"14,511","71,067","10,396","6,986",122,"18,029",
10/28/2020,02/01/2020,10/24/2020,New Jersey,Male,All Ages,"7,746","35,977","5,697","3,879",70,"9,628",
10/28/2020,02/01/2020,10/24/2020,New Jersey,Male,Under 1 year,0,120,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,New Jersey,Male,0-17 years,0,200,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,New Jersey,Male,1-4 years,0,29,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,New Jersey,Male,5-14 years,0,18,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,New Jersey,Male,15-24 years,13,298,,,0,17,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,New Jersey,Male,18-29 years,40,662,20,12,0,48,
10/28/2020,02/01/2020,10/24/2020,New Jersey,Male,25-34 years,77,889,44,36,,87,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,New Jersey,Male,30-49 years,483,"2,780",290,223,,558,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,New Jersey,Male,35-44 years,204,"1,291",129,93,,242,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,New Jersey,Male,45-54 years,579,"2,520",353,273,,667,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,New Jersey,Male,50-64 years,"1,634","6,940","1,103",828,12,"1,920",
10/28/2020,02/01/2020,10/24/2020,New Jersey,Male,55-64 years,"1,284","5,417",882,660,,"1,513",One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,New Jersey,Male,65-74 years,"1,777","7,464","1,304",904,12,"2,188",
10/28/2020,02/01/2020,10/24/2020,New Jersey,Male,75-84 years,"1,991","8,732","1,515","1,026",19,"2,496",
10/28/2020,02/01/2020,10/24/2020,New Jersey,Male,85 years and over,"1,821","9,199","1,464",886,18,"2,417",
10/28/2020,02/01/2020,10/24/2020,New Jersey,Female,All Ages,"6,764","35,088","4,698","3,106",52,"8,400",
10/28/2020,02/01/2020,10/24/2020,New Jersey,Female,Under 1 year,0,105,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,New Jersey,Female,0-17 years,,160,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,New Jersey,Female,1-4 years,,16,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,New Jersey,Female,5-14 years,0,24,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,New Jersey,Female,15-24 years,,112,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,New Jersey,Female,18-29 years,17,252,14,,0,23,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,New Jersey,Female,25-34 years,36,341,27,15,,50,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,New Jersey,Female,30-49 years,154,"1,271",110,69,,198,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,New Jersey,Female,35-44 years,69,583,46,33,,83,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,New Jersey,Female,45-54 years,191,"1,242",144,89,,247,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,New Jersey,Female,50-64 years,713,"3,898",515,350,,884,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,New Jersey,Female,55-64 years,585,"3,158",419,289,,720,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,New Jersey,Female,65-74 years,"1,039","5,282",747,512,,"1,277",One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,New Jersey,Female,75-84 years,"1,774","8,430","1,295",873,12,"2,207",
10/28/2020,02/01/2020,10/24/2020,New Jersey,Female,85 years and over,"3,066","15,795","2,014","1,294",23,"3,806",
10/28/2020,02/01/2020,10/24/2020,New Jersey,Unknown,All Ages,,,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,New Jersey,Unknown,Under 1 year,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,New Jersey,Unknown,0-17 years,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,New Jersey,Unknown,1-4 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,New Jersey,Unknown,5-14 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,New Jersey,Unknown,15-24 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,New Jersey,Unknown,18-29 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,New Jersey,Unknown,25-34 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,New Jersey,Unknown,30-49 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,New Jersey,Unknown,35-44 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,New Jersey,Unknown,45-54 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,New Jersey,Unknown,50-64 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,New Jersey,Unknown,55-64 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,New Jersey,Unknown,65-74 years,,,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,New Jersey,Unknown,75-84 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,New Jersey,Unknown,85 years and over,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,New Mexico,All Sexes,All Ages,854,"14,719","1,092",387,29,"1,588",
10/28/2020,02/01/2020,10/24/2020,New Mexico,Male,All Ages,453,"7,915",603,211,16,861,
10/28/2020,02/01/2020,10/24/2020,New Mexico,Male,Under 1 year,0,27,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,New Mexico,Male,0-17 years,0,80,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,New Mexico,Male,1-4 years,0,11,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,New Mexico,Male,5-14 years,0,18,0,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,New Mexico,Male,15-24 years,,142,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,New Mexico,Male,18-29 years,,297,11,,0,14,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,New Mexico,Male,25-34 years,22,385,24,13,0,33,
10/28/2020,02/01/2020,10/24/2020,New Mexico,Male,30-49 years,53,936,59,31,,83,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,New Mexico,Male,35-44 years,24,452,29,15,,40,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,New Mexico,Male,45-54 years,38,643,44,20,,66,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,New Mexico,Male,50-64 years,104,"1,562",127,57,,179,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,New Mexico,Male,55-64 years,79,"1,197",98,43,,135,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,New Mexico,Male,65-74 years,105,"1,636",130,48,,190,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,New Mexico,Male,75-84 years,84,"1,803",146,37,,197,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,New Mexico,Male,85 years and over,100,"1,601",129,34,,196,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,New Mexico,Female,All Ages,401,"6,804",489,176,13,727,
10/28/2020,02/01/2020,10/24/2020,New Mexico,Female,Under 1 year,0,24,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,New Mexico,Female,0-17 years,0,47,0,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,New Mexico,Female,1-4 years,0,,0,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,New Mexico,Female,5-14 years,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,New Mexico,Female,15-24 years,0,54,0,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,New Mexico,Female,18-29 years,,102,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,New Mexico,Female,25-34 years,,167,,,0,10,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,New Mexico,Female,30-49 years,24,493,26,12,,39,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,New Mexico,Female,35-44 years,16,233,16,,,24,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,New Mexico,Female,45-54 years,23,395,26,14,,36,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,New Mexico,Female,50-64 years,69,940,86,40,,119,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,New Mexico,Female,55-64 years,49,697,67,27,,92,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,New Mexico,Female,65-74 years,71,"1,244",112,41,,144,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,New Mexico,Female,75-84 years,113,"1,665",138,49,,203,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,New Mexico,Female,85 years and over,123,"2,313",124,34,,215,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,New Mexico,Unknown,All Ages,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,New Mexico,Unknown,Under 1 year,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,New Mexico,Unknown,0-17 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,New Mexico,Unknown,1-4 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,New Mexico,Unknown,5-14 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,New Mexico,Unknown,15-24 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,New Mexico,Unknown,18-29 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,New Mexico,Unknown,25-34 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,New Mexico,Unknown,30-49 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,New Mexico,Unknown,35-44 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,New Mexico,Unknown,45-54 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,New Mexico,Unknown,50-64 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,New Mexico,Unknown,55-64 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,New Mexico,Unknown,65-74 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,New Mexico,Unknown,75-84 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,New Mexico,Unknown,85 years and over,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,New York,All Sexes,All Ages,"11,847","87,282","11,307","5,666",215,"17,684",
10/28/2020,02/01/2020,10/24/2020,New York,Male,All Ages,"6,250","43,875","6,083","3,096",113,"9,340",
10/28/2020,02/01/2020,10/24/2020,New York,Male,Under 1 year,0,194,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,New York,Male,0-17 years,,340,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,New York,Male,1-4 years,0,30,0,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,New York,Male,5-14 years,,61,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,New York,Male,15-24 years,11,470,14,,0,19,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,New York,Male,18-29 years,29,870,29,12,,47,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,New York,Male,25-34 years,49,"1,048",40,23,,68,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,New York,Male,30-49 years,309,"2,973",218,146,,387,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,New York,Male,35-44 years,131,"1,433",87,53,,167,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,New York,Male,45-54 years,386,"2,646",303,201,,494,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,New York,Male,50-64 years,"1,175","7,874",987,587,21,"1,594",
10/28/2020,02/01/2020,10/24/2020,New York,Male,55-64 years,936,"6,175",790,462,18,"1,280",
10/28/2020,02/01/2020,10/24/2020,New York,Male,65-74 years,"1,511","9,226","1,361",748,27,"2,148",
10/28/2020,02/01/2020,10/24/2020,New York,Male,75-84 years,"1,652","10,735","1,644",830,27,"2,491",
10/28/2020,02/01/2020,10/24/2020,New York,Male,85 years and over,"1,572","11,857","1,840",772,29,"2,666",
10/28/2020,02/01/2020,10/24/2020,New York,Female,All Ages,"5,597","43,403","5,224","2,570",102,"8,344",
10/28/2020,02/01/2020,10/24/2020,New York,Female,Under 1 year,0,141,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,New York,Female,0-17 years,,226,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,New York,Female,1-4 years,0,23,0,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,New York,Female,5-14 years,0,43,0,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,New York,Female,15-24 years,,182,,0,,12,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,New York,Female,18-29 years,,349,14,,,21,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,New York,Female,25-34 years,19,439,18,10,0,27,
10/28/2020,02/01/2020,10/24/2020,New York,Female,30-49 years,117,"1,542",104,58,,166,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,New York,Female,35-44 years,53,699,45,29,,71,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,New York,Female,45-54 years,138,"1,434",130,64,,206,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,New York,Female,50-64 years,538,"4,741",551,278,15,824,
10/28/2020,02/01/2020,10/24/2020,New York,Female,55-64 years,453,"3,897",468,237,13,696,
10/28/2020,02/01/2020,10/24/2020,New York,Female,65-74 years,858,"6,769",833,431,15,"1,275",
10/28/2020,02/01/2020,10/24/2020,New York,Female,75-84 years,"1,386","10,109","1,332",668,19,"2,069",
10/28/2020,02/01/2020,10/24/2020,New York,Female,85 years and over,"2,688","19,667","2,389","1,131",44,"3,983",
10/28/2020,02/01/2020,10/24/2020,New York,Unknown,All Ages,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,New York,Unknown,Under 1 year,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,New York,Unknown,0-17 years,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,New York,Unknown,1-4 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,New York,Unknown,5-14 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,New York,Unknown,15-24 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,New York,Unknown,18-29 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,New York,Unknown,25-34 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,New York,Unknown,30-49 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,New York,Unknown,35-44 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,New York,Unknown,45-54 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,New York,Unknown,50-64 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,New York,Unknown,55-64 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,New York,Unknown,65-74 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,New York,Unknown,75-84 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,New York,Unknown,85 years and over,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,New York City,All Sexes,All Ages,"20,867","65,977","11,462","8,001",969,"24,464",
10/28/2020,02/01/2020,10/24/2020,New York City,Male,All Ages,"12,368","35,285","6,600","4,722",587,"14,304",
10/28/2020,02/01/2020,10/24/2020,New York City,Male,Under 1 year,,160,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,New York City,Male,0-17 years,,258,,,,18,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,New York City,Male,1-4 years,,21,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,New York City,Male,5-14 years,,50,,0,,10,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,New York City,Male,15-24 years,23,336,10,,,26,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,New York City,Male,18-29 years,63,674,26,15,,74,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,New York City,Male,25-34 years,116,853,65,42,,139,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,New York City,Male,30-49 years,867,"3,039",385,294,61,967,
10/28/2020,02/01/2020,10/24/2020,New York City,Male,35-44 years,405,"1,455",164,126,27,450,
10/28/2020,02/01/2020,10/24/2020,New York City,Male,45-54 years,"1,000","2,828",479,362,73,"1,122",
10/28/2020,02/01/2020,10/24/2020,New York City,Male,50-64 years,"2,861","7,705","1,430","1,058",192,"3,250",
10/28/2020,02/01/2020,10/24/2020,New York City,Male,55-64 years,"2,247","5,973","1,124",830,149,"2,555",
10/28/2020,02/01/2020,10/24/2020,New York City,Male,65-74 years,"3,294","8,117","1,688","1,269",140,"3,718",
10/28/2020,02/01/2020,10/24/2020,New York City,Male,75-84 years,"3,141","8,263","1,740","1,249",106,"3,641",
10/28/2020,02/01/2020,10/24/2020,New York City,Male,85 years and over,"2,134","7,229","1,324",836,78,"2,636",
10/28/2020,02/01/2020,10/24/2020,New York City,Female,All Ages,"8,498","30,683","4,861","3,279",382,"10,158",
10/28/2020,02/01/2020,10/24/2020,New York City,Female,Under 1 year,,130,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,New York City,Female,0-17 years,,184,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,New York City,Female,1-4 years,,12,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,New York City,Female,5-14 years,,30,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,New York City,Female,15-24 years,10,120,,,,13,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,New York City,Female,18-29 years,27,231,17,,,36,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,New York City,Female,25-34 years,57,320,27,16,,69,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,New York City,Female,30-49 years,307,"1,293",146,94,23,362,
10/28/2020,02/01/2020,10/24/2020,New York City,Female,35-44 years,117,591,63,36,,145,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,New York City,Female,45-54 years,399,"1,374",206,143,33,466,
10/28/2020,02/01/2020,10/24/2020,New York City,Female,50-64 years,"1,309","4,196",715,521,87,"1,518",
10/28/2020,02/01/2020,10/24/2020,New York City,Female,55-64 years,"1,062","3,327",576,426,68,"1,225",
10/28/2020,02/01/2020,10/24/2020,New York City,Female,65-74 years,"1,773","5,399",960,692,89,"2,057",
10/28/2020,02/01/2020,10/24/2020,New York City,Female,75-84 years,"2,311","7,271","1,352",929,90,"2,752",
10/28/2020,02/01/2020,10/24/2020,New York City,Female,85 years and over,"2,765","12,109","1,667","1,032",89,"3,424",
10/28/2020,02/01/2020,10/24/2020,New York City,Unknown,All Ages,,,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,New York City,Unknown,Under 1 year,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,New York City,Unknown,0-17 years,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
