Data as of,Start week,End Week,Group,State,Indicator,COVID-19 Deaths,Total Deaths,Percent of Expected Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
11/02/2020,04/11/2020,04/11/2020,By week,Mississippi,Week-ending,65,698,1.16,86,35,,117,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,04/18/2020,04/18/2020,By week,Mississippi,Week-ending,66,731,1.23,91,32,0,125,
11/02/2020,04/25/2020,04/25/2020,By week,Mississippi,Week-ending,67,749,1.27,80,29,0,118,
11/02/2020,05/02/2020,05/02/2020,By week,Mississippi,Week-ending,100,747,1.27,87,45,0,142,
11/02/2020,05/09/2020,05/09/2020,By week,Mississippi,Week-ending,86,747,1.25,76,28,0,134,
11/02/2020,05/16/2020,05/16/2020,By week,Mississippi,Week-ending,108,775,1.33,110,54,,165,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,05/23/2020,05/23/2020,By week,Mississippi,Week-ending,100,720,1.24,96,48,0,148,
11/02/2020,05/30/2020,05/30/2020,By week,Mississippi,Week-ending,107,747,1.24,96,56,0,147,
11/02/2020,06/06/2020,06/06/2020,By week,Mississippi,Week-ending,89,726,1.22,66,39,0,116,
11/02/2020,06/13/2020,06/13/2020,By week,Mississippi,Week-ending,69,702,1.18,70,36,0,103,
11/02/2020,06/20/2020,06/20/2020,By week,Mississippi,Week-ending,75,740,1.31,83,39,0,119,
11/02/2020,06/27/2020,06/27/2020,By week,Mississippi,Week-ending,68,712,1.23,67,35,,101,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,07/04/2020,07/04/2020,By week,Mississippi,Week-ending,91,709,1.24,75,38,0,128,
11/02/2020,07/11/2020,07/11/2020,By week,Mississippi,Week-ending,119,787,1.31,96,53,0,162,
11/02/2020,07/18/2020,07/18/2020,By week,Mississippi,Week-ending,127,780,1.39,124,78,0,173,
11/02/2020,07/25/2020,07/25/2020,By week,Mississippi,Week-ending,162,871,1.58,134,85,0,211,
11/02/2020,08/01/2020,08/01/2020,By week,Mississippi,Week-ending,224,861,1.5,162,117,0,269,
11/02/2020,08/08/2020,08/08/2020,By week,Mississippi,Week-ending,198,905,1.53,165,115,0,248,
11/02/2020,08/15/2020,08/15/2020,By week,Mississippi,Week-ending,192,849,1.5,152,116,0,228,
11/02/2020,08/22/2020,08/22/2020,By week,Mississippi,Week-ending,187,797,1.4,154,111,,230,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,08/29/2020,08/29/2020,By week,Mississippi,Week-ending,154,795,1.45,108,73,,189,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,09/05/2020,09/05/2020,By week,Mississippi,Week-ending,113,715,1.21,101,60,,154,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,09/12/2020,09/12/2020,By week,Mississippi,Week-ending,107,720,1.22,87,57,0,137,
11/02/2020,09/19/2020,09/19/2020,By week,Mississippi,Week-ending,103,714,1.3,87,46,0,144,
11/02/2020,09/26/2020,09/26/2020,By week,Mississippi,Week-ending,99,688,1.18,84,55,0,128,
11/02/2020,10/03/2020,10/03/2020,By week,Mississippi,Week-ending,82,671,1.14,90,42,0,130,
11/02/2020,10/10/2020,10/10/2020,By week,Mississippi,Week-ending,63,693,1.18,78,35,0,106,
11/02/2020,10/17/2020,10/17/2020,By week,Mississippi,Week-ending,51,523,0.91,64,31,0,84,
11/02/2020,10/24/2020,10/24/2020,By week,Mississippi,Week-ending,31,408,0.69,38,17,0,52,
11/02/2020,10/31/2020,10/31/2020,By week,Mississippi,Week-ending,,114,0.19,10,,0,12,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,02/01/2020,02/01/2020,By week,Missouri,Week-ending,0,"1,360",1.01,86,0,12,98,
11/02/2020,02/08/2020,02/08/2020,By week,Missouri,Week-ending,0,"1,328",0.97,72,0,,76,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,02/15/2020,02/15/2020,By week,Missouri,Week-ending,0,"1,345",0.95,66,0,13,79,
11/02/2020,02/22/2020,02/22/2020,By week,Missouri,Week-ending,,"1,357",1.01,62,0,30,93,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,02/29/2020,02/29/2020,By week,Missouri,Week-ending,0,"1,365",1.05,89,0,24,113,
11/02/2020,03/07/2020,03/07/2020,By week,Missouri,Week-ending,0,"1,392",1.07,87,0,23,110,
11/02/2020,03/14/2020,03/14/2020,By week,Missouri,Week-ending,0,"1,300",0.99,78,0,22,100,
11/02/2020,03/21/2020,03/21/2020,By week,Missouri,Week-ending,,"1,267",0.95,67,,23,90,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,03/28/2020,03/28/2020,By week,Missouri,Week-ending,18,"1,337",1.05,107,11,14,128,
11/02/2020,04/04/2020,04/04/2020,By week,Missouri,Week-ending,55,"1,296",1.07,107,24,,144,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,04/11/2020,04/11/2020,By week,Missouri,Week-ending,97,"1,461",1.21,103,26,,175,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,04/18/2020,04/18/2020,By week,Missouri,Week-ending,93,"1,348",1.1,94,24,,166,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,04/25/2020,04/25/2020,By week,Missouri,Week-ending,131,"1,440",1.17,120,53,0,198,
11/02/2020,05/02/2020,05/02/2020,By week,Missouri,Week-ending,119,"1,387",1.12,97,41,0,175,
11/02/2020,05/09/2020,05/09/2020,By week,Missouri,Week-ending,120,"1,417",1.2,99,42,0,177,
11/02/2020,05/16/2020,05/16/2020,By week,Missouri,Week-ending,92,"1,342",1.13,82,25,,150,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,05/23/2020,05/23/2020,By week,Missouri,Week-ending,77,"1,292",1.09,82,28,0,131,
11/02/2020,05/30/2020,05/30/2020,By week,Missouri,Week-ending,59,"1,233",1.05,62,16,0,105,
11/02/2020,06/06/2020,06/06/2020,By week,Missouri,Week-ending,50,"1,277",1.08,65,18,0,97,
11/02/2020,06/13/2020,06/13/2020,By week,Missouri,Week-ending,44,"1,251",1.08,77,16,,106,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,06/20/2020,06/20/2020,By week,Missouri,Week-ending,43,"1,220",1.05,59,,0,94,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,06/27/2020,06/27/2020,By week,Missouri,Week-ending,43,"1,271",1.07,67,12,0,98,
11/02/2020,07/04/2020,07/04/2020,By week,Missouri,Week-ending,39,"1,272",1.06,50,11,0,78,
11/02/2020,07/11/2020,07/11/2020,By week,Missouri,Week-ending,37,"1,271",1.09,58,,,88,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,07/18/2020,07/18/2020,By week,Missouri,Week-ending,45,"1,354",1.15,70,13,0,102,
11/02/2020,07/25/2020,07/25/2020,By week,Missouri,Week-ending,82,"1,334",1.14,78,30,0,130,
11/02/2020,08/01/2020,08/01/2020,By week,Missouri,Week-ending,77,"1,336",1.19,85,31,0,131,
11/02/2020,08/08/2020,08/08/2020,By week,Missouri,Week-ending,97,"1,329",1.1,110,39,0,168,
11/02/2020,08/15/2020,08/15/2020,By week,Missouri,Week-ending,103,"1,347",1.14,100,37,0,166,
11/02/2020,08/22/2020,08/22/2020,By week,Missouri,Week-ending,98,"1,366",1.17,96,42,,154,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,08/29/2020,08/29/2020,By week,Missouri,Week-ending,123,"1,327",1.15,110,51,,183,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,09/05/2020,09/05/2020,By week,Missouri,Week-ending,109,"1,335",1.15,108,54,0,163,
11/02/2020,09/12/2020,09/12/2020,By week,Missouri,Week-ending,146,"1,299",1.1,102,51,0,197,
11/02/2020,09/19/2020,09/19/2020,By week,Missouri,Week-ending,125,"1,348",1.13,111,62,0,174,
11/02/2020,09/26/2020,09/26/2020,By week,Missouri,Week-ending,179,"1,343",1.12,130,73,0,236,
11/02/2020,10/03/2020,10/03/2020,By week,Missouri,Week-ending,220,"1,336",1.14,125,81,0,264,
11/02/2020,10/10/2020,10/10/2020,By week,Missouri,Week-ending,187,"1,252",1.1,125,82,0,230,
11/02/2020,10/17/2020,10/17/2020,By week,Missouri,Week-ending,150,"1,077",0.92,103,56,,197,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,10/24/2020,10/24/2020,By week,Missouri,Week-ending,75,714,0.58,54,32,0,97,
11/02/2020,10/31/2020,10/31/2020,By week,Missouri,Week-ending,11,132,0.11,,,0,15,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,02/01/2020,02/01/2020,By week,Montana,Week-ending,0,218,1.05,10,0,,11,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,02/08/2020,02/08/2020,By week,Montana,Week-ending,0,202,0.94,,0,,12,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,02/15/2020,02/15/2020,By week,Montana,Week-ending,0,198,0.9,,0,,11,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,02/22/2020,02/22/2020,By week,Montana,Week-ending,0,218,0.97,15,0,,17,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,02/29/2020,02/29/2020,By week,Montana,Week-ending,0,235,1.14,,0,,11,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,03/07/2020,03/07/2020,By week,Montana,Week-ending,0,221,0.97,12,0,,18,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,03/14/2020,03/14/2020,By week,Montana,Week-ending,0,218,1.06,11,0,,17,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,03/21/2020,03/21/2020,By week,Montana,Week-ending,0,228,1.1,21,0,,26,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,03/28/2020,03/28/2020,By week,Montana,Week-ending,,205,1.12,21,,,26,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,04/04/2020,04/04/2020,By week,Montana,Week-ending,,177,0.87,13,0,,17,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,04/11/2020,04/11/2020,By week,Montana,Week-ending,0,216,1.1,12,0,0,12,
11/02/2020,04/18/2020,04/18/2020,By week,Montana,Week-ending,,191,0.94,11,,,15,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,04/25/2020,04/25/2020,By week,Montana,Week-ending,,187,0.97,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,05/02/2020,05/02/2020,By week,Montana,Week-ending,,204,1.1,10,,,12,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,05/09/2020,05/09/2020,By week,Montana,Week-ending,0,177,0.93,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,05/16/2020,05/16/2020,By week,Montana,Week-ending,0,205,1.1,10,0,0,10,
11/02/2020,05/23/2020,05/23/2020,By week,Montana,Week-ending,0,181,0.98,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,05/30/2020,05/30/2020,By week,Montana,Week-ending,,179,1.02,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,06/06/2020,06/06/2020,By week,Montana,Week-ending,,178,0.9,14,,0,14,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,06/13/2020,06/13/2020,By week,Montana,Week-ending,,223,1.16,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,06/20/2020,06/20/2020,By week,Montana,Week-ending,,198,1.11,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,06/27/2020,06/27/2020,By week,Montana,Week-ending,,198,1.09,11,0,0,12,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,07/04/2020,07/04/2020,By week,Montana,Week-ending,,175,0.9,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,07/11/2020,07/11/2020,By week,Montana,Week-ending,,189,1.04,,,0,15,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,07/18/2020,07/18/2020,By week,Montana,Week-ending,,203,1.07,10,,0,18,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,07/25/2020,07/25/2020,By week,Montana,Week-ending,12,223,1.07,,,0,18,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,08/01/2020,08/01/2020,By week,Montana,Week-ending,16,216,1.06,,,0,20,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,08/08/2020,08/08/2020,By week,Montana,Week-ending,15,215,1.13,18,,0,27,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,08/15/2020,08/15/2020,By week,Montana,Week-ending,,205,1.11,10,,0,13,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,08/22/2020,08/22/2020,By week,Montana,Week-ending,11,240,1.28,,,0,13,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,08/29/2020,08/29/2020,By week,Montana,Week-ending,12,194,1.07,10,,0,18,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,09/05/2020,09/05/2020,By week,Montana,Week-ending,18,232,1.21,21,12,0,27,
11/02/2020,09/12/2020,09/12/2020,By week,Montana,Week-ending,25,217,1.17,21,16,0,30,
11/02/2020,09/19/2020,09/19/2020,By week,Montana,Week-ending,15,233,1.29,13,,0,22,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,09/26/2020,09/26/2020,By week,Montana,Week-ending,19,232,1.28,12,,0,27,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,10/03/2020,10/03/2020,By week,Montana,Week-ending,27,231,1.08,23,15,0,35,
11/02/2020,10/10/2020,10/10/2020,By week,Montana,Week-ending,41,263,1.34,38,24,0,55,
11/02/2020,10/17/2020,10/17/2020,By week,Montana,Week-ending,29,198,1.01,17,13,0,33,
11/02/2020,10/24/2020,10/24/2020,By week,Montana,Week-ending,14,130,0.67,,,0,18,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,10/31/2020,10/31/2020,By week,Montana,Week-ending,,19,0.1,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,02/01/2020,02/01/2020,By week,Nebraska,Week-ending,0,373,1.07,29,0,,35,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,02/08/2020,02/08/2020,By week,Nebraska,Week-ending,0,345,0.94,21,0,,27,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,02/15/2020,02/15/2020,By week,Nebraska,Week-ending,0,327,0.95,29,0,,32,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,02/22/2020,02/22/2020,By week,Nebraska,Week-ending,0,318,0.88,29,0,,31,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,02/29/2020,02/29/2020,By week,Nebraska,Week-ending,0,341,0.99,22,0,,24,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,03/07/2020,03/07/2020,By week,Nebraska,Week-ending,0,355,1.02,30,0,,32,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,03/14/2020,03/14/2020,By week,Nebraska,Week-ending,0,343,0.97,24,0,,25,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,03/21/2020,03/21/2020,By week,Nebraska,Week-ending,0,350,1.11,31,0,,33,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,03/28/2020,03/28/2020,By week,Nebraska,Week-ending,,331,0.94,22,0,,26,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,04/04/2020,04/04/2020,By week,Nebraska,Week-ending,,310,0.91,30,,,35,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,04/11/2020,04/11/2020,By week,Nebraska,Week-ending,11,343,1.06,22,,0,31,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,04/18/2020,04/18/2020,By week,Nebraska,Week-ending,16,353,1.1,34,,,47,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,04/25/2020,04/25/2020,By week,Nebraska,Week-ending,30,353,1.13,31,,,54,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,05/02/2020,05/02/2020,By week,Nebraska,Week-ending,20,344,1.08,28,,0,41,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,05/09/2020,05/09/2020,By week,Nebraska,Week-ending,21,338,1.07,26,,0,39,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,05/16/2020,05/16/2020,By week,Nebraska,Week-ending,30,352,1.11,25,12,0,43,
11/02/2020,05/23/2020,05/23/2020,By week,Nebraska,Week-ending,32,347,1.15,32,12,0,52,
11/02/2020,05/30/2020,05/30/2020,By week,Nebraska,Week-ending,22,375,1.19,26,,0,40,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,06/06/2020,06/06/2020,By week,Nebraska,Week-ending,19,318,1.02,20,10,0,29,
11/02/2020,06/13/2020,06/13/2020,By week,Nebraska,Week-ending,27,319,1.04,22,,0,40,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,06/20/2020,06/20/2020,By week,Nebraska,Week-ending,24,371,1.15,23,17,0,30,
11/02/2020,06/27/2020,06/27/2020,By week,Nebraska,Week-ending,18,317,1,21,,0,31,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,07/04/2020,07/04/2020,By week,Nebraska,Week-ending,12,307,0.96,23,,0,30,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,07/11/2020,07/11/2020,By week,Nebraska,Week-ending,10,316,1.01,21,,0,24,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,07/18/2020,07/18/2020,By week,Nebraska,Week-ending,,325,1.1,21,,0,25,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,07/25/2020,07/25/2020,By week,Nebraska,Week-ending,14,361,1.21,22,,0,33,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,08/01/2020,08/01/2020,By week,Nebraska,Week-ending,13,358,1.17,24,,0,34,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,08/08/2020,08/08/2020,By week,Nebraska,Week-ending,23,379,1.28,29,,0,43,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,08/15/2020,08/15/2020,By week,Nebraska,Week-ending,22,351,1.15,30,,0,43,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,08/22/2020,08/22/2020,By week,Nebraska,Week-ending,27,360,1.16,24,,0,44,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,08/29/2020,08/29/2020,By week,Nebraska,Week-ending,13,321,1.06,17,,0,27,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,09/05/2020,09/05/2020,By week,Nebraska,Week-ending,34,345,1.12,24,17,0,41,
11/02/2020,09/12/2020,09/12/2020,By week,Nebraska,Week-ending,24,334,1.06,26,12,0,38,
11/02/2020,09/19/2020,09/19/2020,By week,Nebraska,Week-ending,23,325,1.03,20,,0,34,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,09/26/2020,09/26/2020,By week,Nebraska,Week-ending,24,370,1.2,34,17,0,41,
11/02/2020,10/03/2020,10/03/2020,By week,Nebraska,Week-ending,39,359,1.11,29,16,0,52,
11/02/2020,10/10/2020,10/10/2020,By week,Nebraska,Week-ending,48,359,1.06,36,14,0,70,
11/02/2020,10/17/2020,10/17/2020,By week,Nebraska,Week-ending,40,311,0.94,28,21,0,47,
11/02/2020,10/24/2020,10/24/2020,By week,Nebraska,Week-ending,32,171,0.51,19,11,0,40,
11/02/2020,10/31/2020,10/31/2020,By week,Nebraska,Week-ending,0,,0,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,02/01/2020,02/01/2020,By week,Nevada,Week-ending,0,532,1.01,32,0,,38,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,02/08/2020,02/08/2020,By week,Nevada,Week-ending,0,579,1.07,45,0,,51,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,02/15/2020,02/15/2020,By week,Nevada,Week-ending,0,529,1.05,29,0,,34,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,02/22/2020,02/22/2020,By week,Nevada,Week-ending,0,545,1.07,26,0,,27,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,02/29/2020,02/29/2020,By week,Nevada,Week-ending,0,543,0.99,39,0,,44,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,03/07/2020,03/07/2020,By week,Nevada,Week-ending,0,535,1.03,33,0,,37,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,03/14/2020,03/14/2020,By week,Nevada,Week-ending,0,515,0.96,48,0,,54,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,03/21/2020,03/21/2020,By week,Nevada,Week-ending,,508,0.99,47,,,51,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,03/28/2020,03/28/2020,By week,Nevada,Week-ending,19,542,1.1,57,16,,62,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,04/04/2020,04/04/2020,By week,Nevada,Week-ending,43,592,1.16,78,33,,89,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,04/11/2020,04/11/2020,By week,Nevada,Week-ending,55,588,1.16,91,43,0,103,
11/02/2020,04/18/2020,04/18/2020,By week,Nevada,Week-ending,43,545,1.09,52,33,,63,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,04/25/2020,04/25/2020,By week,Nevada,Week-ending,62,565,1.1,85,50,0,97,
11/02/2020,05/02/2020,05/02/2020,By week,Nevada,Week-ending,48,547,1.11,65,32,0,81,
11/02/2020,05/09/2020,05/09/2020,By week,Nevada,Week-ending,51,544,1.13,58,32,0,77,
11/02/2020,05/16/2020,05/16/2020,By week,Nevada,Week-ending,34,514,1.09,43,24,0,53,
11/02/2020,05/23/2020,05/23/2020,By week,Nevada,Week-ending,36,536,1.12,45,24,0,57,
11/02/2020,05/30/2020,05/30/2020,By week,Nevada,Week-ending,29,543,1.13,56,21,0,64,
11/02/2020,06/06/2020,06/06/2020,By week,Nevada,Week-ending,21,562,1.14,36,15,0,42,
11/02/2020,06/13/2020,06/13/2020,By week,Nevada,Week-ending,17,543,1.08,39,,0,47,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,06/20/2020,06/20/2020,By week,Nevada,Week-ending,20,519,1.05,42,15,0,47,
11/02/2020,06/27/2020,06/27/2020,By week,Nevada,Week-ending,23,557,1.1,44,16,,52,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,07/04/2020,07/04/2020,By week,Nevada,Week-ending,43,528,1.09,55,34,0,64,
11/02/2020,07/11/2020,07/11/2020,By week,Nevada,Week-ending,67,633,1.29,78,50,0,95,
11/02/2020,07/18/2020,07/18/2020,By week,Nevada,Week-ending,87,637,1.34,96,70,0,113,
11/02/2020,07/25/2020,07/25/2020,By week,Nevada,Week-ending,93,654,1.45,106,70,0,129,
11/02/2020,08/01/2020,08/01/2020,By week,Nevada,Week-ending,106,611,1.26,106,78,0,134,
11/02/2020,08/08/2020,08/08/2020,By week,Nevada,Week-ending,131,682,1.5,141,109,0,163,
11/02/2020,08/15/2020,08/15/2020,By week,Nevada,Week-ending,115,655,1.44,120,89,0,146,
11/02/2020,08/22/2020,08/22/2020,By week,Nevada,Week-ending,100,635,1.42,107,78,0,129,
11/02/2020,08/29/2020,08/29/2020,By week,Nevada,Week-ending,75,618,1.28,77,55,0,97,
11/02/2020,09/05/2020,09/05/2020,By week,Nevada,Week-ending,74,621,1.36,87,55,0,106,
11/02/2020,09/12/2020,09/12/2020,By week,Nevada,Week-ending,60,542,1.16,73,49,0,84,
11/02/2020,09/19/2020,09/19/2020,By week,Nevada,Week-ending,51,519,1.14,61,34,0,78,
11/02/2020,09/26/2020,09/26/2020,By week,Nevada,Week-ending,38,503,1.07,56,30,0,64,
11/02/2020,10/03/2020,10/03/2020,By week,Nevada,Week-ending,34,532,1.12,57,26,0,65,
11/02/2020,10/10/2020,10/10/2020,By week,Nevada,Week-ending,37,509,1.05,49,25,0,61,
11/02/2020,10/17/2020,10/17/2020,By week,Nevada,Week-ending,22,448,1.01,34,16,0,40,
11/02/2020,10/24/2020,10/24/2020,By week,Nevada,Week-ending,11,289,0.62,27,11,0,27,
11/02/2020,10/31/2020,10/31/2020,By week,Nevada,Week-ending,,38,0.08,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,02/01/2020,02/01/2020,By week,New Hampshire,Week-ending,0,240,0.89,12,0,,15,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,02/08/2020,02/08/2020,By week,New Hampshire,Week-ending,0,256,1.01,12,0,,17,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
